id,name,city,country
1,Christinehaven,Port Christinashire,Mali
2,South Travisshire,North Kaylachester,Jordan
3,Zavalastad,Port Jasmine,Marshall Islands
4,Donaldhaven,Lake Bonnie,Anguilla
5,New James,Kevinhaven,Timor-Leste
6,Heidiberg,Sheltonmouth,Bulgaria
7,Vanceport,Glendaview,Jersey
8,South Wendyshire,Solisfort,Svalbard & Jan Mayen Islands
9,Jamesfort,Campbelltown,Eritrea
10,Port Williamfort,Perezburgh,Syrian Arab Republic
11,South Moniqueside,New Thomasville,Vanuatu
12,Waynetown,Lake Paul,Seychelles
13,West Nicoleport,Cervantesview,Namibia
14,Lake Cindy,East Gabriel,South Georgia and the South Sandwich Islands
15,Jesushaven,New Zacharymouth,United Arab Emirates
16,New Glen,Lake Charlesport,Benin
17,South Garyshire,West Luisfort,Samoa
18,South Michael,South Terri,Japan
19,East Brettshire,Alexanderfurt,Burundi
20,Holmesshire,Lake Keithbury,Egypt
21,Port Johnberg,Port Dawn,Svalbard & Jan Mayen Islands
22,Port Elijahstad,Port Ronaldland,Italy
23,Burnsborough,Jonesburgh,San Marino
24,South Candicehaven,Hansenhaven,Aruba
25,New Jill,Kristaport,American Samoa
