id,ticket_id,weight
1,22817,24.22
2,126924,28.97
3,111085,10.13
4,21612,8.08
5,8280,5.39
6,136811,15.48
7,3350,23.72
8,5008,13.56
9,121832,19.15
10,16512,12.34
11,9058,7.35
12,133538,17.47
13,5284,10.59
14,38730,15.25
15,56219,13.48
16,92173,19.37
17,54681,12.41
18,117417,6.93
19,19774,24.57
20,71586,20.02
21,5174,19.81
22,72329,12.19
23,113363,22.34
24,29207,20.06
25,90498,8.51
26,28083,12.97
27,33938,13.19
28,69165,28.32
29,113314,11.48
30,108844,14.04
31,92387,22.63
32,78482,20.38
33,2325,27.81
34,43043,14.14
35,108374,26.24
36,97991,18.13
37,93915,21.72
38,209,21.46
39,51010,17.67
40,97253,13.46
41,92906,27.59
42,48377,25.73
43,17195,28.67
44,71435,5.56
45,65688,29.04
46,8263,7.17
47,106710,10.68
48,50658,16.27
49,75826,13.56
50,47351,28.33
51,74686,8.11
52,97454,12.99
53,18088,9.74
54,57428,26.23
55,65970,20.53
56,97039,17.45
57,36205,12.97
58,88702,24.76
59,28099,5.34
60,85462,20.41
61,38301,28.29
62,12089,13.26
63,50475,10.26
64,79308,11.68
65,9672,6.57
66,81095,27.65
67,126495,20.78
68,106555,22.46
69,138816,29.67
70,75209,15.42
71,126451,28.62
72,43284,9.6
73,10265,12.81
74,84556,13.42
75,74289,6.7
76,110102,8.54
77,82219,11.11
78,29252,19.76
79,26618,18.78
80,80334,21.46
81,19712,20.63
82,114461,6.83
83,58010,13.04
84,84747,26.38
85,95585,26.98
86,74636,18.14
87,106241,25.37
88,54357,13.03
89,52667,23.33
90,15954,20.68
91,34337,18.31
92,37516,21.6
93,120213,19.49
94,133356,18.24
95,68139,7.36
96,31501,22.5
97,21396,6.73
98,45026,14.99
99,88783,12.22
100,24803,11.35
101,138850,28.64
102,70044,17.38
103,137095,16.37
104,70402,9.89
105,147934,8.64
106,81852,16.63
107,8919,6.42
108,116360,13.71
109,125976,25.14
110,47904,15.16
111,15549,28.5
112,135508,14.08
113,105182,9.79
114,105592,16.23
115,87456,5.17
116,123854,16.32
117,91775,23.62
118,144866,25.14
119,12222,9.48
120,96865,16.75
121,33294,5.37
122,136217,17.16
123,53002,14.48
124,143593,7.76
125,133545,15.25
126,11424,26.97
127,5261,11.26
128,83430,8.44
129,75348,26.78
130,64785,14.91
131,46554,8.71
132,14567,19.63
133,112110,20.81
134,73017,19.89
135,13752,5.03
136,93367,19.95
137,103621,23.42
138,8954,13.33
139,38488,15.44
140,79170,9.62
141,61419,11.24
142,28400,19.29
143,7374,29.25
144,2867,16.11
145,52396,25.24
146,90685,15.88
147,138835,20.05
148,35289,8.41
149,56579,23.44
150,1466,26.22
151,73465,16.47
152,6197,26.49
153,99865,10.19
154,52079,27.97
155,62946,13.54
156,130831,5.78
157,50439,8.02
158,99683,22.14
159,102837,22.25
160,37497,23.22
161,32055,5.02
162,79237,16.71
