id,flight_id,passenger_id,seat_number,price
1,1,4226,8C,295.82
2,1,1909,14C,497.77
3,1,2695,22D,52.1
4,1,4037,9A,149.09
5,1,1555,1C,454.64
6,1,3135,8E,421.36
7,1,2273,22F,373.25
8,1,1510,13F,214.79
9,1,2876,14D,436.31
10,1,3874,4F,179.58
11,1,4714,16E,303.58
12,1,2059,3E,347.92
13,1,2576,23D,440.56
14,1,375,2A,168.54
15,1,458,14C,373.15
16,1,3661,5F,212.25
17,1,1313,16D,469.4
18,1,1567,17A,378.15
19,1,1010,20F,75.69
20,1,2112,20F,172.68
21,1,2501,5D,301.85
22,1,4148,14F,492.93
23,1,2817,17B,181.52
24,1,634,25B,236.01
25,1,4541,21E,275.7
26,1,643,29C,493.41
27,1,2378,30A,458.83
28,1,3807,9B,116.48
29,1,3154,8F,332.27
30,1,4367,13B,187.6
31,1,636,28C,194.8
32,1,1450,19B,282.99
33,1,1801,12B,393.76
34,1,2972,7A,191.67
35,1,3677,13D,180.66
36,1,1956,23E,367.0
37,1,2909,15E,497.04
38,1,2495,12E,145.44
39,1,3744,14E,251.15
40,1,4914,8A,136.4
41,1,868,25E,366.08
42,1,4313,12B,325.13
43,1,3521,26D,129.04
44,1,2722,7D,184.68
45,1,3394,15E,308.75
46,1,4883,28A,175.38
47,1,1516,3A,385.26
48,1,2554,14A,279.94
49,1,2491,16E,329.11
50,1,1301,29C,479.48
51,1,4958,27D,388.56
52,1,416,15E,356.11
53,1,2156,11F,448.68
54,1,4167,2D,431.65
55,1,1840,30B,134.48
56,1,1299,7D,160.05
57,1,3915,16B,277.82
58,1,2389,10E,86.17
59,1,626,8D,113.13
60,1,2369,20C,154.75
61,1,2478,15C,272.97
62,1,1335,18F,285.0
63,1,1843,1C,132.87
64,1,1848,26F,126.21
65,1,1854,16B,216.31
66,1,3061,23A,327.59
67,1,2108,22C,410.22
68,1,4264,5B,161.1
69,1,3566,20A,217.27
70,1,2206,16B,272.66
71,1,2449,24E,105.54
72,1,577,6B,167.17
73,1,3362,15E,291.44
74,1,3542,29D,58.61
75,1,3353,29B,221.28
76,1,1578,16A,152.42
77,1,804,6B,452.88
78,1,3749,11F,223.55
79,1,3505,1C,335.43
80,1,3846,17A,296.46
81,1,4416,14A,429.12
82,1,3721,14C,93.0
83,1,2777,15C,109.16
84,1,2620,8C,180.06
85,1,19,9B,313.57
86,1,3638,16E,252.85
87,1,4620,21D,433.98
88,1,2402,1E,229.98
89,1,89,29B,150.08
90,1,2058,22D,349.9
